coachID,year,tmID,won,lost,post_wins,post_losses,awards
adamsmi01w,5,WAS,17,17,1,2,0
adubari99w,1,NYL,20,12,4,3,0
adubari99w,2,NYL,21,11,3,3,0
adubari99w,3,NYL,18,14,4,4,0
adubari99w,4,NYL,16,18,0,0,0
adubari99w,5,NYL,7,9,0,0,0
adubari99w,6,WAS,16,18,0,0,0
adubari99w,7,WAS,18,16,0,2,0
adubari99w,8,WAS,0,4,0,0,0
aglerbr99w,1,MIN,15,17,0,0,0
aglerbr99w,2,MIN,12,20,0,0,0
aglerbr99w,3,MIN,6,13,0,0,0
aglerbr99w,9,SEA,22,12,1,2,0
aglerbr99w,10,SEA,20,14,1,2,0
allenso99w,1,SAC,21,11,0,2,0
allenso99w,2,SAC,6,6,0,0,0
bibbyhe01w,6,LAS,13,15,0,0,0
boguemu01w,6,CHA,3,7,0,0,0
boguemu01w,7,CHA,11,23,0,0,0
bouceje01w,8,SAC,19,15,1,2,0
bouceje01w,9,SAC,18,16,1,2,0
bouceje01w,10,SAC,3,10,0,0,0
brownde01w,3,CON,16,16,0,0,0
brownde01w,5,SAS,6,20,0,0,0
bryanjo01w,6,LAS,4,2,0,2,0
bryanjo01w,7,LAS,25,9,2,3,0
chancva99w,1,HOU,27,5,6,0,0
chancva99w,2,HOU,19,13,0,2,0
chancva99w,3,HOU,24,8,1,2,0
chancva99w,4,HOU,20,14,1,2,0
chancva99w,5,HOU,13,21,0,0,0
chancva99w,6,HOU,19,15,2,3,0
chancva99w,7,HOU,18,16,0,2,0
coopecy01w,2,PHO,13,19,0,0,0
coopecy01w,3,PHO,6,4,0,0,0
coopemi01w,1,LAS,28,4,2,2,1
coopemi01w,2,LAS,28,4,6,1,0
coopemi01w,3,LAS,25,7,6,0,0
coopemi01w,4,LAS,24,10,5,4,0
coopemi01w,5,LAS,14,6,0,0,0
coopemi01w,8,LAS,10,24,0,0,0
coopemi01w,9,LAS,20,14,3,3,0
coopemi01w,10,LAS,18,16,3,3,0
cowenda01w,7,CHI,5,29,0,0,0
coylepa99w,5,NYL,11,7,2,3,0
coylepa99w,6,NYL,18,16,0,2,0
coylepa99w,7,NYL,11,23,0,0,0
coylepa99w,8,NYL,16,18,1,2,0
coylepa99w,9,NYL,19,15,3,3,0
coylepa99w,10,NYL,6,11,0,0,0
dailesh99w,4,SAS,6,6,0,0,0
dailesh99w,5,SAS,3,5,0,0,0
darscna99w,1,WAS,9,11,0,0,0
donovan99w,1,IND,9,23,0,0,0
donovan99w,2,CHA,18,14,4,4,0
donovan99w,3,CHA,18,14,0,2,0
donovan99w,4,SEA,18,16,0,0,0
donovan99w,5,SEA,20,14,6,2,0
donovan99w,6,SEA,20,14,1,2,0
donovan99w,7,SEA,18,16,1,2,0
donovan99w,8,SEA,17,17,0,2,0
donovan99w,10,NYL,7,10,0,0,0
dunnli99wc,1,SEA,6,26,0,0,0
dunnli99wc,2,SEA,10,22,0,0,0
dunnli99wc,3,SEA,17,15,0,2,0
dunnli99wc,9,IND,17,17,1,2,0
dunnli99wc,10,IND,22,12,6,4,0
dunntr01wc,1,CHA,8,24,0,0,0
fortnne99w,2,IND,10,22,0,0,0
fortnne99w,3,IND,16,16,1,2,0
fortnne99w,4,IND,16,18,0,0,0
gaineco01w,9,PHO,16,18,0,0,0
gaineco01w,10,PHO,23,11,7,4,0
gilloje01w,10,MIN,14,20,0,0,0
grafca99wc,5,PHO,17,17,0,0,0
grafca99wc,6,PHO,16,18,0,0,0
hargrli99w,1,POR,10,22,0,0,0
hargrli99w,2,POR,11,21,0,0,0
hargrli99w,3,POR,16,16,0,0,0
harveca99w,2,SAS,14,5,0,2,0
harveca99w,3,SAS,20,12,2,3,0
harveca99w,4,SAS,6,16,0,0,0
hugheda99w,1,CLE,17,15,3,3,0
hugheda99w,2,CLE,22,10,1,2,1
hugheda99w,3,CLE,10,22,0,0,0
