year,tmID,confID,rank,playoff,o_oreb,o_dreb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_oreb,d_dreb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,homeW,homeL,awayW,awayL,confW,confL,min,wonPost,lostPost,wonPointsPost,lostPointsPost,awards_players,awards_coaches,offensive_efficiency,defensive_efficiency,play_percent,factors4,possession,opponent_possession,avg_pie,avg_per,avg_height,avg_weight,per_o_fgm,per_o_ftm,per_o_3pm,per_d_fgm,per_d_ftm,per_d_3pm
10,ATL,EA,7.0,Y,340.0,737.0,492.0,796.0,285.0,593.0,142.0,2534.0,401.0,864.0,684.0,726.0,310.0,561.0,134.0,2879.0,0.12,0.88,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,0,0,0,0,0,0,18.5,18.83,0.23,358.16,2716.8,2705.2,0.0625,19.527225219848706,73.25,170.0,0.4,0.75,0.34,0.45,0.74,0.34
11,ATL,EA,2.0,0,404.0,855.0,547.0,741.0,329.0,590.0,121.0,2861.0,353.0,821.0,615.0,700.0,347.0,601.0,133.0,2797.0,0.53,0.47,12.0,5.0,6.0,11.0,10.0,12.0,6950.0,0,2,0,0,1,1,17.64,15.8,0.25,435.75,2828.35,2847.44,0.07666666666666667,27.040397735276148,72.77777777777777,157.77777777777777,0.45,0.75,0.3,0.42,0.77,0.34
2,CHA,EA,8.0,Y,305.0,630.0,551.0,713.0,222.0,496.0,90.0,2186.0,326.0,664.0,596.0,596.0,259.0,426.0,123.0,2429.0,0.25,0.75,5.0,11.0,3.0,13.0,5.0,16.0,6475.0,0,0,0,0,0,0,16.7,11.9,0.24,324.96,2253.96,2251.24,0.0,0.0,0.0,0.0,0.43,0.75,0.34,0.46,0.74,0.33
3,CHA,EA,4.0,Y,309.0,639.0,467.0,605.0,217.0,474.0,114.0,2055.0,344.0,567.0,443.0,579.0,257.0,447.0,124.0,2009.0,0.56,0.44,11.0,5.0,7.0,9.0,15.0,6.0,6500.0,4,4,4,0,0,0,67.78,29.42,0.23,298.57,2090.23,2108.43,0.10200000000000001,19.03902459497831,71.33333333333333,166.11111111111111,0.42,0.78,0.36,0.4,0.77,0.31
4,CHA,EA,2.0,Y,302.0,653.0,496.0,647.0,241.0,408.0,105.0,2241.0,295.0,620.0,489.0,600.0,208.0,424.0,103.0,2133.0,0.56,0.44,11.0,5.0,7.0,9.0,12.0,9.0,6450.0,0,2,0,0,0,0,21.0,16.91,0.24,308.17,2100.21,2111.16,0.12,19.166082491595297,71.33333333333333,167.0,0.43,0.74,0.4,0.43,0.74,0.36
5,CHA,EA,2.0,N,342.0,629.0,499.0,697.0,279.0,497.0,115.0,2217.0,386.0,621.0,491.0,606.0,264.0,469.0,104.0,2195.0,0.53,0.47,13.0,4.0,5.0,12.0,12.0,12.0,6850.0,0,2,0,0,0,0,29.33,28.7,0.23,314.97,2203.78,2187.34,0.11200000000000002,23.547111076256446,71.11111111111111,161.77777777777777,0.42,0.77,0.36,0.42,0.72,0.34
6,CHA,EA,5.0,N,256.0,616.0,426.0,648.0,210.0,479.0,134.0,2092.0,368.0,628.0,516.0,595.0,243.0,437.0,114.0,2168.0,0.47,0.53,10.0,7.0,6.0,11.0,8.0,12.0,6900.0,0,0,0,0,0,0,15.78,34.81,0.24,298.16,2137.54,2168.91,0.10800000000000001,18.583678183868916,71.625,168.25,0.43,0.74,0.36,0.41,0.75,0.37
7,CHA,EA,6.0,N,316.0,609.0,493.0,727.0,284.0,535.0,113.0,2095.0,355.0,700.0,496.0,654.0,269.0,534.0,146.0,2335.0,0.18,0.82,5.0,12.0,1.0,16.0,4.0,16.0,6945.0,0,0,0,0,0,0,17.23,21.28,0.23,308.96,2310.3,2285.49,0.126,19.10880277363093,71.92307692307692,165.23076923076923,0.4,0.72,0.35,0.45,0.71,0.37
8,CHA,EA,6.0,N,347.0,747.0,527.0,734.0,315.0,574.0,155.0,2456.0,370.0,870.0,522.0,707.0,286.0,619.0,125.0,2571.0,0.32,0.68,7.0,10.0,4.0,13.0,6.0,14.0,6825.0,0,0,0,0,0,0,21.95,135.03,0.22,345.76,2637.0,2636.2,0.10750000000000001,18.820163545488395,73.0,166.11111111111111,0.4,0.71,0.32,0.42,0.75,0.33
8,CHI,EA,7.0,N,357.0,680.0,509.0,674.0,277.0,527.0,125.0,2322.0,379.0,860.0,623.0,584.0,262.0,535.0,120.0,2687.0,0.15,0.85,3.0,14.0,2.0,15.0,4.0,16.0,6800.0,0,0,0,0,0,0,22.34,48.12,0.23,343.35,2522.8,2521.77,0.0325,15.270818432123408,72.27272727272727,164.54545454545453,0.39,0.7,0.29,0.45,0.74,0.37
9,CHI,EA,6.0,N,383.0,782.0,597.0,634.0,262.0,510.0,112.0,2525.0,379.0,846.0,584.0,683.0,242.0,566.0,138.0,2611.0,0.41,0.59,6.0,11.0,8.0,9.0,6.0,14.0,6972.0,0,0,0,0,1,0,32.32,127.49,0.23,370.15,2613.24,2603.98,0.11000000000000001,19.527194848674,72.4,171.6,0.41,0.68,0.34,0.43,0.78,0.38
10,CHI,EA,5.0,N,357.0,770.0,548.0,639.0,269.0,525.0,149.0,2472.0,366.0,794.0,531.0,681.0,255.0,522.0,124.0,2510.0,0.35,0.65,8.0,9.0,4.0,13.0,10.0,10.0,6875.0,0,0,0,0,0,0,19.12,55.53,0.24,359.76,2520.27,2541.31,0.10800000000000001,25.894756220910278,72.45454545454545,172.0909090909091,0.43,0.69,0.32,0.42,0.77,0.33
11,CHI,EA,5.0,0,307.0,776.0,532.0,605.0,249.0,532.0,138.0,2573.0,359.0,797.0,610.0,636.0,273.0,489.0,121.0,2693.0,0.47,0.53,12.0,5.0,4.0,13.0,10.0,12.0,6825.0,0,0,0,0,0,0,16.94,22.88,0.25,372.15,2559.28,2561.97,0.10800000000000001,23.752884293208886,71.8,163.8,0.44,0.76,0.39,0.44,0.78,0.35
2,CLE,EA,2.0,Y,331.0,603.0,539.0,647.0,259.0,538.0,91.0,2185.0,277.0,596.0,540.0,693.0,305.0,552.0,95.0,2122.0,0.53,0.47,13.0,3.0,4.0,12.0,13.0,8.0,6500.0,3,3,2,1,1,0,17.37,13.47,0.25,323.77,2194.37,2200.82,0.0,0.0,0.0,0.0,0.44,0.75,0.35,0.44,0.78,0.32
3,CLE,EA,1.0,N,297.0,662.0,503.0,532.0,267.0,444.0,83.0,2004.0,297.0,594.0,434.0,597.0,225.0,496.0,127.0,1788.0,0.69,0.31,14.0,2.0,8.0,8.0,15.0,6.0,6425.0,1,2,0,1,0,1,76.49,-56.51,0.24,305.36,2053.63,2053.79,0.10400000000000001,19.395644852264198,71.53846153846153,168.53846153846155,0.43,0.74,0.32,0.38,0.74,0.32
4,CLE,EA,7.0,Y,295.0,674.0,480.0,567.0,221.0,451.0,83.0,2071.0,278.0,640.0,530.0,613.0,242.0,428.0,109.0,2140.0,0.31,0.69,4.0,12.0,6.0,10.0,7.0,14.0,6550.0,0,0,0,0,0,0,60.34,19.77,0.23,304.16,2130.55,2124.71,0.10200000000000001,21.327120785341393,71.55555555555556,167.44444444444446,0.42,0.78,0.32,0.43,0.76,0.34
5,CLE,EA,4.0,Y,349.0,720.0,517.0,639.0,226.0,466.0,86.0,2229.0,300.0,704.0,510.0,659.0,223.0,467.0,135.0,2210.0,0.5,0.5,11.0,6.0,6.0,11.0,13.0,11.0,6825.0,1,2,0,1,0,0,77.07,30.66,0.23,326.16,2279.92,2266.64,0.11,23.082846791006414,71.7,164.0,0.41,0.72,0.32,0.42,0.77,0.36
